id_tableau,titre_tableau,source,code,produit,quantité,unité,2017,2018
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11734010,Haricot sec graines mélangés,1,Kg,1152,951
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11735010,Petit pois sec local,1,Kg,2527,2162
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11736010,Farine de soja locale,1,Kg,1807,1852
12.02,Prix moyen à la consommation des ménages,ISTEEBU,1174,Tubercules,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11741010,Pomme de terre de couleur mauve,1,Kg,724,602
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11741020,Pomme de terre local couleur jaune (genre Ruhengeri),1,Kg,756,610
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11741030,Pomme de terre Ruhengeri,1,Kg,830,772
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11742011,Patate douce local,1,Kg,512,319
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11743010,Banane douce (igisahira),1,Kg,631,546
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11744010,Colocase (ay'i Kizungu),1,Kg,851,709
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11745010,Manioc frais en tubercule,1,Kg,628,538
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11746010,Bananes plantains mûrs (imizuzu),1,Kg,906,291
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11746020,Igname,1,Kg,600,364
12.02,Prix moyen à la consommation des ménages,ISTEEBU,1175,Produits à  base de tubercules et de plantain,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11751010,Farine de manioc sec IKIVUNDE,1,Kg,1423,1223
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11751020,Farine de manioc sec INYANGE,1,Kg,1125,753
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11752010,Ubuswage,1,Kg,885,904
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11753010,Chips,200,Gr,1568,2037
12.02,Prix moyen à la consommation des ménages,ISTEEBU,118,Sucre,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,1181,Sucre,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11811010,Sucre blanc cristallisé local (SOSUMO),1,Kg,2666,2484
12.02,Prix moyen à la consommation des ménages,ISTEEBU,1182,Confiture,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11821010,Confiture de fraises importé,450,Gr,3941,3867
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11821020,Miel local,1,Kg,6591,8314
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11821030,Chocolat au lait,200,Gr,4090,-
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11821040,Bonbon,1,Unité,31,30
12.02,Prix moyen à la consommation des ménages,ISTEEBU,119,Produits alimentaires n.c.a,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,1191,Produits alimentaires n.c.a,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11911010,Sel de cuisine non emballé(non fin).,1,Kg,935,979
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11911020,Sel de table emballé,600,Gr,4690,5269
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11912010,Mayonnaise importé,470,Gr,6310,5871
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11912020,Cube (maggi,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11912030,Piment rouge frais (Mbuzi) local,1,Kg,3635,3952
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11912040,Céleri local,1,Kg,3179,3554
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11912050,Pilipili liquide local,340,Gr,1480,1205
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11913010,Farine pour Bébé importé(Cérélac),400,Gr,13443,15158
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11913020,Lait en poudre pour bébé Guigoz,400,Gr,20021,17968
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11913030,Lait en poudre pour bébé (NAN) (0 à  6 mois),400,Gr,22853,21456
12.02,Prix moyen à la consommation des ménages,ISTEEBU,12,Boissons non alcoolisees,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,121,Cafe,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,1211,Café et thé,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,12111010,Café en paquet local,250,Gr,5254,5445
12.02,Prix moyen à la consommation des ménages,ISTEEBU,12111020,Café soluble instantané en boîte (NESCAFE),250,Gr,17780,20380
12.02,Prix moyen à la consommation des ménages,ISTEEBU,12111030,Thé en paquet,200,Gr,1428,1720
12.02,Prix moyen à la consommation des ménages,ISTEEBU,122,Eaux minérales,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,1221,Boissons non alcoolisées,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,12211010,Jus d'orange en carton,1,Litre,4403,4906
12.02,Prix moyen à la consommation des ménages,ISTEEBU,12211020,Jus de fruits en carton (cocktail),1,Litre,4235,4657
12.02,Prix moyen à la consommation des ménages,ISTEEBU,12211030,Sirop de maracoudja Akezamutima,65,Centilitre(s),4125,4279
12.02,Prix moyen à la consommation des ménages,ISTEEBU,12212010,Boisson gazeuse en bouteille en verre (coca cola,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,12213010,Eau minérale(1,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,12213020,Eau minérale (500 ml) Kinju local,500,Millilitre(s),601,598
12.02,Prix moyen à la consommation des ménages,ISTEEBU,12213030,Eau minérale gazeuse Aquavie (650ml) local,650,Millilitre(s),2530,1090
12.02,Prix moyen à la consommation des ménages,ISTEEBU,2,BOISSONS ALCOOLISÉES,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,21,Boissons alcoolisees,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,211,Spiritueux,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,2111,Spiritueux,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,21111010,Whisky J&B importé,1,Litre,48996,54983
12.02,Prix moyen à la consommation des ménages,ISTEEBU,21111020,Vodka Smirnof importé,1,Litre,18656,25770
12.02,Prix moyen à la consommation des ménages,ISTEEBU,212,Vin et boissons fermentees,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,2121,Vin et boissons fermentees,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,21211010,Vin de banane (isongo),75,Centilitre(s),1089,1156
12.02,Prix moyen à la consommation des ménages,ISTEEBU,21211020,Vin de banane Urugombo/Urwarwa,75,Centilitre(s),506,550
12.02,Prix moyen à la consommation des ménages,ISTEEBU,21212010,Vin rouge Drosdy importé en bouteille en verre,375,Millilitre(s),10470,11584
12.02,Prix moyen à la consommation des ménages,ISTEEBU,21212020,Vin de messe importé,75,Centilitre(s),21344,23592
